Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,EmploymentStatus,Citizenship
1,62.5,1275000.0,0,0,Other,Black,5.0,1,0,0,0,ByBirth,112,0,0,Employed,Indian
1,31.42,1550000.0,1,1,Other,White,0.5,1,0,0,0,ByBirth,120,0,0,Employed,Indian
1,28.46,500000.0,0,0,Other,White,8.5,1,0,0,0,ByBirth,0,0,0,Employed,Indian
1,52.33,137500.0,0,0,Other,Black,9.46,1,0,0,1,ByBirth,200,100000,0,Employed,Indian
1,28.75,150000.0,0,0,Other,White,1.5,1,0,0,1,ByBirth,0,225000,0,Employed,Indian
0,28.58,354000.0,1,1,Other,Asian,0.5,1,0,0,1,ByBirth,171,0,0,Employed,Indian
1,23.0,62500.0,0,0,Other,White,0.125,1,0,0,0,ByBirth,180,1000,0,Employed,Indian
1,28.46,50000.0,1,1,Other,Asian,0.835,1,0,0,1,ByOtherMeans,320,0,0,Employed,Indian
0,22.5,1100000.0,0,0,Other,White,3.0,1,0,0,1,ByBirth,268,0,0,Employed,Indian
0,28.5,100000.0,1,1,Other,White,1.0,1,1,2,1,ByBirth,167,500000,0,Employed,Indian
1,37.5,175000.0,0,0,Other,Asian,0.25,1,0,0,1,ByBirth,164,400000,0,Employed,Indian
1,35.25,1650000.0,0,0,Other,White,4.0,1,0,0,0,ByBirth,80,0,0,Employed,Indian
1,18.67,500000.0,1,1,Other,White,0.375,1,1,2,0,ByBirth,0,38000,0,Employed,Indian
1,25.0,1200000.0,1,1,Banking,White,2.25,1,1,2,1,ByBirth,120,5000,0,Employed,Indian
1,27.83,400000.0,0,0,Other,Black,5.75,1,1,2,1,ByBirth,75,0,0,Employed,Indian
1,54.83,1550000.0,1,1,Education,Other,0.0,1,1,20,0,ByBirth,152,130000,0,Unemployed,Indian
1,28.75,116500.0,1,1,Banking,White,0.5,1,0,0,0,ByOtherMeans,280,0,0,Employed,Indian
0,25.0,1100000.0,0,0,Other,White,4.5,1,0,0,0,ByBirth,120,0,0,Employed,Indian
1,40.92,225000.0,0,0,Other,Black,10.0,1,0,0,1,ByBirth,176,0,0,Employed,Indian
0,19.75,75000.0,1,1,Other,White,0.795,1,1,5,1,ByBirth,140,5000,0,Employed,Indian
1,29.17,350000.0,1,1,Manufacturing,White,3.5,1,1,3,1,ByBirth,329,0,0,Employed,Indian
0,24.5,104000.0,0,0,Healthcare,Latino,0.5,1,1,3,0,ByBirth,180,147000,0,Employed,Indian
1,24.58,1250000.0,1,1,Manufacturing,White,0.875,1,0,0,1,ByBirth,260,0,0,Employed,Indian
0,33.75,75000.0,1,1,Banking,Asian,1.0,1,1,3,1,ByBirth,212,0,0,Employed,Indian
1,20.67,125000.0,0,0,Other,Black,1.375,1,1,3,1,ByBirth,140,210000,0,Employed,Indian
0,25.42,112500.0,1,1,Other,White,1.29,1,1,2,0,ByBirth,200,0,0,Employed,Indian
1,37.75,700000.0,1,1,Other,Black,11.5,1,1,7,1,ByBirth,300,5000,0,Employed,Indian
1,52.5,650000.0,1,1,Banking,White,6.29,1,1,15,0,ByBirth,0,11202000,1,Employed,Indian
1,57.83,704000.0,1,1,Other,White,14.0,1,1,6,1,ByBirth,360,1332000,1,Employed,Indian
0,20.75,1033500.0000000001,1,1,Other,Black,0.335,1,1,1,1,ByBirth,80,50000,1,Employed,Indian
1,39.92,621000.0,1,1,Other,White,0.04,1,1,1,0,ByBirth,200,300000,1,Employed,Indian
1,25.67,1250000.0,1,1,Other,White,1.21,1,1,67,1,ByBirth,140,258000,1,Employed,Indian
0,24.75,1250000.0,1,1,Other,White,1.5,1,1,12,1,ByBirth,120,567000,1,Employed,Indian
0,44.17,666500.0,1,1,Other,White,7.375,1,1,3,1,ByBirth,0,0,1,Employed,Indian
0,23.5,900000.0,1,1,Other,White,8.5,1,1,5,1,ByBirth,120,0,1,Employed,Indian
1,34.92,500000.0,1,1,Other,Black,7.5,1,1,6,1,ByBirth,0,1000000,1,Employed,Indian
1,47.67,250000.0,1,1,Other,Asian,2.5,1,1,12,1,ByBirth,410,2510000,1,Employed,Indian
1,22.75,1100000.0,1,1,Other,White,2.5,1,1,7,1,ByBirth,100,809000,1,Employed,Indian
1,34.42,425000.0,1,1,Other,Asian,3.25,1,1,2,0,ByBirth,274,610000,1,Employed,Indian
0,28.42,350000.0,1,1,Manufacturing,White,0.835,1,0,0,0,ByOtherMeans,280,0,1,Employed,Indian
1,67.75,550000.0,1,1,Education,Other,13.0,1,1,1,1,ByBirth,0,0,1,Employed,Indian
1,20.42,183500.0,1,1,Other,White,2.25,1,1,1,0,ByBirth,100,150000,1,Employed,Indian
0,47.42,800000.0,1,1,Education,Asian,6.5,1,1,6,0,ByBirth,375,51100000,1,Employed,Indian
1,36.25,500000.0,1,1,Other,Asian,2.5,1,1,6,0,ByBirth,0,367000,1,Employed,Indian
1,32.67,550000.0,1,1,Other,Black,5.5,1,1,12,1,ByBirth,408,1000000,1,Employed,Indian
1,48.58,650000.0,1,1,Other,Black,6.0,1,0,0,1,ByBirth,350,0,1,Employed,Indian
1,39.92,54000.0,0,0,Other,White,0.5,1,1,3,0,ByBirth,200,1000000,1,Employed,Indian
1,33.58,275000.0,1,1,Other,White,4.25,1,1,6,0,ByBirth,204,0,1,Employed,Indian
0,18.83,950000.0,1,1,Manufacturing,White,1.625,1,1,6,1,ByBirth,40,600000,1,Employed,Indian
0,26.92,1350000.0,1,1,Other,Black,5.0,1,1,2,0,ByBirth,0,5000000,1,Employed,Indian
0,31.25,375000.0,1,1,Other,Black,0.625,1,1,9,1,ByBirth,181,0,1,Employed,Indian
0,56.5,1600000.0,1,1,Other,Latino,0.0,1,1,15,0,ByBirth,0,247000,1,Unemployed,Indian
1,43.0,28999.999999999996,0,0,Other,Black,1.75,1,1,8,0,ByBirth,100,375000,1,Employed,Indian
1,22.33,1100000.0,1,1,Manufacturing,White,2.0,1,1,1,0,ByBirth,80,278000,1,Employed,Indian
1,27.25,166500.0,1,1,Other,Black,5.085,1,1,9,0,ByBirth,399,827000,1,Employed,Indian
1,32.83,250000.0,1,1,Other,Black,2.75,1,1,6,0,ByBirth,160,2072000,1,Employed,Indian
1,23.25,150000.0,1,1,Other,White,2.375,1,1,3,1,ByBirth,0,582000,1,Employed,Indian
0,40.33,754000.0,0,0,Other,Black,8.0,1,1,14,0,ByBirth,0,2300000,1,Employed,Indian
0,30.5,650000.0,1,1,Other,Asian,4.0,1,1,7,1,ByBirth,0,3065000,1,Employed,Indian
0,52.83,1500000.0,1,1,Other,White,5.5,1,1,14,0,ByBirth,0,2200000,1,Employed,Indian
0,46.67,46000.0,1,1,Other,Black,0.415,1,1,11,1,ByBirth,440,6000,1,Employed,Indian
0,58.33,1000000.0,1,1,Other,White,4.0,1,1,14,0,ByBirth,0,1602000,1,Employed,Indian
1,37.33,650000.0,1,1,Other,Black,4.25,1,1,12,1,ByBirth,93,0,1,Employed,Indian
1,23.08,250000.0,1,1,Other,White,1.085,1,1,11,1,ByBirth,60,2184000,1,Employed,Indian
1,32.75,150000.0,1,1,Other,Black,5.5,1,1,3,1,ByBirth,0,0,1,Employed,Indian
0,21.67,1150000.0,0,0,Other,Other,0.0,1,1,11,1,ByBirth,0,0,1,Unemployed,Indian
0,28.5,304000.0,0,0,Other,Black,2.54,1,1,1,0,ByBirth,70,0,1,Employed,Indian
0,68.67,1500000.0,1,1,Education,Other,0.0,1,1,14,0,ByBirth,0,3376000,1,Unemployed,Indian
1,28.0,200000.0,1,1,Banking,Black,4.165,1,1,2,1,ByBirth,181,0,1,Employed,Indian
1,34.08,8000.0,0,0,Other,Asian,0.04,1,1,1,1,ByBirth,280,2000000,1,Employed,Indian
1,27.67,200000.0,1,1,Other,Black,1.0,1,1,4,0,ByBirth,140,7544000,1,Employed,Indian
1,44.0,200000.0,1,1,Other,White,1.75,1,1,2,1,ByBirth,0,15000,1,Employed,Indian
1,25.08,171000.0,1,1,Other,White,1.665,1,1,1,1,ByBirth,395,20000,1,Employed,Indian
1,32.0,175000.0,0,0,Education,Black,0.04,1,0,0,1,ByBirth,393,0,1,Employed,Indian
0,60.58,1650000.0,1,1,Other,White,11.0,1,0,0,1,ByBirth,21,10561000,1,Employed,Indian
0,40.83,1000000.0,1,1,Other,Black,1.75,1,0,0,0,ByBirth,29,837000,1,Employed,Indian
1,19.33,950000.0,1,1,Other,White,1.0,1,0,0,1,ByBirth,60,400000,1,Employed,Indian
0,32.33,54000.0,1,1,Other,White,0.04,1,0,0,0,ByBirth,440,11177000,1,Employed,Indian
1,36.67,325000.0,1,1,Other,Black,9.0,1,0,0,1,ByBirth,102,639000,1,Employed,Indian
1,37.5,112500.0,0,0,Other,White,1.5,0,0,0,1,ByBirth,431,0,1,Employed,Indian
0,25.08,254000.0,0,0,Other,White,0.25,1,0,0,1,ByBirth,370,0,1,Employed,Indian
1,41.33,0.0,1,1,Other,Asian,15.0,1,0,0,0,ByBirth,0,0,1,Employed,Indian
1,56.0,1250000.0,1,1,Banking,Black,8.0,1,0,0,1,ByBirth,24,2028000,1,Employed,Indian
0,49.83,1358500.0,1,1,Banking,Black,8.5,1,0,0,1,ByBirth,0,0,1,Employed,Indian
1,22.67,1050000.0,1,1,Other,Black,1.335,1,0,0,0,ByBirth,100,0,1,Employed,Indian
1,27.0,150000.0,0,0,Manufacturing,White,0.375,1,0,0,1,ByBirth,260,1065000,1,Employed,Indian
1,25.0,1250000.0,1,1,Other,White,3.0,1,0,0,1,ByOtherMeans,20,0,1,Employed,Indian
0,26.08,866499.9999999999,1,1,Other,White,1.415,1,0,0,0,ByBirth,160,150000,1,Employed,Indian
0,18.42,925000.0,1,1,Other,White,1.21,1,1,4,0,ByBirth,60,540000,1,Employed,Indian
1,20.17,817000.0,1,1,Other,White,1.96,1,1,14,0,ByBirth,60,158000,1,Employed,Indian
1,47.67,28999.999999999996,1,1,Other,Asian,15.0,1,1,20,0,ByBirth,0,15000000,1,Employed,Indian
0,21.25,233500.0,1,1,Other,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1,Employed,Indian
0,20.67,300000.0,1,1,Other,White,0.165,1,1,3,0,ByBirth,100,6000,1,Employed,Indian
0,57.08,1950000.0,1,1,Other,White,5.5,1,1,7,0,ByBirth,0,3000000,1,Employed,Indian
0,22.42,566500.0,1,1,Other,White,2.585,1,1,7,0,ByBirth,129,3257000,1,Employed,Indian
1,48.75,850000.0,1,1,Other,Black,12.5,1,1,9,0,ByBirth,181,1655000,1,Employed,Indian
1,40.0,650000.0,1,1,Other,Asian,3.5,1,1,1,0,ByBirth,0,500000,1,Employed,Indian
1,40.58,500000.0,1,1,Other,White,5.0,1,1,7,0,ByBirth,0,3065000,1,Employed,Indian
0,28.67,104000.0,1,1,Other,White,2.5,1,1,5,1,ByBirth,300,1430000,1,Employed,Indian
0,33.08,462500.0,1,1,Other,Black,1.625,1,1,2,0,ByBirth,0,0,1,Employed,Indian
1,21.33,1050000.0,1,1,Other,White,3.0,1,0,0,1,ByBirth,0,0,1,Employed,Indian
1,42.0,20500.0,1,1,Other,Black,5.125,1,0,0,0,ByBirth,400,0,1,Employed,Indian
1,41.75,96000.0,1,1,Other,White,2.5,1,0,0,0,ByBirth,510,600000,1,Employed,Indian
1,22.67,158500.0,0,0,Manufacturing,White,3.085,1,1,6,0,ByBirth,80,0,1,Employed,Indian
1,34.5,404000.0,0,0,Other,Asian,8.5,1,1,7,1,ByBirth,195,0,1,Employed,Indian
1,28.25,504000.0,0,0,Other,Asian,1.5,1,1,8,1,ByBirth,144,7000,1,Employed,Indian
1,33.17,316500.0,0,0,Other,White,3.165,1,1,3,1,ByBirth,380,0,1,Employed,Indian
1,48.17,762500.0,1,1,Manufacturing,Black,15.5,1,1,12,0,ByBirth,0,790000,1,Employed,Indian
1,27.58,204000.0,0,0,Other,White,2.0,1,1,3,1,ByBirth,370,560000,1,Employed,Indian
1,22.58,1003999.9999999999,1,1,Other,White,0.04,1,1,9,0,ByBirth,60,396000,1,Employed,Indian
0,24.08,50000.0,1,1,Other,Black,1.25,1,1,1,0,ByBirth,0,678000,1,Employed,Indian
0,41.33,100000.0,1,1,Other,Asian,2.25,1,0,0,1,ByBirth,0,300000,1,Employed,Indian
1,24.83,275000.0,1,1,Other,White,2.25,1,1,6,0,ByBirth,0,600000,1,Employed,Indian
0,20.75,1025000.0,1,1,Other,White,0.71,1,1,2,1,ByBirth,49,0,1,Employed,Indian
1,36.33,212500.0,0,0,Manufacturing,White,0.085,1,1,1,0,ByBirth,50,1187000,1,Employed,Indian
0,35.42,1200000.0,1,1,Other,Black,14.0,1,1,8,0,ByBirth,0,6590000,1,Employed,Indian
0,71.58,0.0,1,1,Other,White,0.0,0,0,0,0,Temporary,0,0,1,Unemployed,Indian
1,28.67,933500.0000000001,1,1,Other,Black,5.665,1,1,6,0,ByBirth,381,168000,1,Employed,Indian
1,35.17,250000.0,1,1,Banking,White,4.5,1,1,7,0,ByBirth,150,1270000,1,Employed,Indian
1,39.5,425000.0,1,1,Other,Asian,6.5,1,1,16,0,ByBirth,117,1210000,1,Employed,Indian
1,39.33,587500.0,1,1,Other,Black,10.0,1,1,14,1,ByBirth,399,0,1,Employed,Indian
1,24.33,662500.0,0,0,Other,White,5.5,1,0,0,1,ByOtherMeans,100,0,1,Employed,Indian
1,60.08,1450000.0,1,1,Healthcare,Latino,18.0,1,1,15,1,ByBirth,0,1000000,1,Employed,Indian
1,23.08,1150000.0,1,1,Other,White,3.5,1,1,9,0,ByBirth,56,742000,1,Employed,Indian
1,26.67,271000.0,0,0,Other,White,5.25,1,1,1,0,ByBirth,211,0,1,Employed,Indian
1,48.17,350000.0,1,1,Other,White,3.5,1,0,0,0,ByOtherMeans,230,0,1,Employed,Indian
1,41.17,404000.0,1,1,Other,Black,7.0,1,1,8,0,ByBirth,320,0,1,Employed,Indian
1,55.92,1150000.0,1,1,Healthcare,Latino,5.0,1,1,5,0,ByBirth,0,8851000,1,Employed,Indian
1,53.92,962500.0,1,1,Education,White,8.665,1,1,5,0,ByBirth,0,0,1,Employed,Indian
0,18.92,925000.0,0,0,Other,White,1.0,1,1,4,1,ByBirth,80,500000,1,Employed,Indian
0,50.08,1254000.0,1,1,Other,White,2.29,1,1,3,1,ByBirth,156,0,1,Employed,Indian
1,65.42,1100000.0,1,1,Education,Other,20.0,1,1,7,1,ByBirth,22,0,1,Employed,Indian
0,17.58,900000.0,1,1,Other,White,1.375,1,0,0,1,ByBirth,0,0,1,Employed,Indian
0,18.83,953999.9999999999,1,1,Other,White,0.085,1,0,0,0,ByBirth,100,0,1,Employed,Indian
0,37.75,550000.0,1,1,Other,White,0.125,1,0,0,1,ByBirth,228,0,1,Employed,Indian
1,23.25,400000.0,1,1,Other,Asian,0.25,1,0,0,1,ByBirth,160,0,1,Employed,Indian
1,18.08,550000.0,1,1,Banking,White,0.5,1,0,0,0,ByBirth,80,0,1,Employed,Indian
0,22.5,846000.0000000001,0,0,Other,White,2.46,0,0,0,0,ByBirth,164,0,1,Employed,Indian
1,19.67,37500.0,1,1,Other,White,2.0,1,1,2,1,ByBirth,80,0,1,Employed,Indian
1,22.08,1100000.0,1,1,Other,White,0.665,1,0,0,0,ByBirth,100,0,1,Employed,Indian
1,25.17,350000.0,1,1,Other,White,0.625,1,1,7,0,ByBirth,0,7059000,1,Employed,Indian
0,47.42,300000.0,1,1,Other,White,13.875,1,1,2,1,ByBirth,519,1704000,1,Employed,Indian
1,33.5,175000.0,1,1,Other,Black,4.5,1,1,4,1,ByBirth,253,857000,1,Employed,Indian
1,27.67,1375000.0,1,1,Manufacturing,White,5.75,1,0,0,1,ByBirth,487,500000,1,Employed,Indian
0,58.42,2100000.0,1,1,Other,Asian,10.0,1,1,13,0,ByBirth,0,6700000,1,Employed,Indian
0,20.67,183500.0,1,1,Other,White,2.085,1,1,5,0,ByBirth,220,2503000,1,Employed,Indian
1,26.17,25000.0,1,1,Other,Asian,0.0,1,0,0,1,ByBirth,0,0,1,Unemployed,Indian
1,21.33,750000.0,1,1,Other,White,1.415,1,1,1,0,ByBirth,80,9800000,1,Employed,Indian
1,42.83,462500.0,1,1,Other,White,4.58,1,0,0,0,ByOtherMeans,0,0,1,Employed,Indian
1,38.17,1012500.0,1,1,Other,White,2.5,1,1,6,0,ByBirth,520,196000,1,Employed,Indian
1,20.5,1000000.0,0,0,Other,White,2.5,1,0,0,0,ByOtherMeans,40,0,1,Employed,Indian
1,48.25,2508500.0,1,1,Manufacturing,White,1.75,1,1,3,0,ByBirth,120,14000,1,Employed,Indian
1,28.33,500000.0,1,1,Manufacturing,White,11.0,1,0,0,1,ByBirth,70,0,1,Employed,Indian
0,18.75,750000.0,1,1,Other,White,2.71,1,1,5,0,ByBirth,0,26726000,1,Employed,Indian
1,18.5,200000.0,1,1,Other,White,1.5,1,1,2,0,ByBirth,120,300000,1,Employed,Indian
1,33.17,304000.0,0,0,Other,Black,2.04,1,1,1,1,ByBirth,180,18027000,1,Employed,Indian
1,45.0,850000.0,1,1,Other,Black,14.0,1,1,1,1,ByBirth,88,2000000,1,Employed,Indian
0,19.67,21000.0,1,1,Other,Black,0.29,1,1,11,0,ByBirth,80,99000,1,Employed,Indian
1,24.5,1275000.0,1,1,Other,Asian,4.75,1,1,2,0,ByBirth,73,444000,1,Employed,Indian
1,21.83,1100000.0,1,1,Other,White,0.29,1,1,6,0,ByBirth,121,0,1,Employed,Indian
1,40.25,2150000.0,1,1,Education,Other,20.0,1,1,11,0,ByBirth,0,1200000,1,Employed,Indian
1,41.42,500000.0,1,1,Other,Black,5.0,1,1,6,1,ByBirth,470,0,1,Employed,Indian
0,17.83,1100000.0,1,1,Other,Black,1.0,1,1,11,0,ByBirth,0,3000000,1,Employed,Indian
